asset_id,business_type,industry,postcode,latitude,longitude,asset_value,annual_revenue,coverage_limit
VIC0048,warehouse,logistics,3020,-37.768805,144.838917,1528361.96,2925255.51,76886.51
VIC0049,light_manufacturing,manufacturing,3047,-37.670973,144.937388,2313062.98,,441556.55
VIC0050,restaurant,hospitality,3690,-36.149406,146.905309,190697.08,182967.06,25000
VIC0051,retail_store,retail,3550,-36.775802,144.295065,521072.17,,50131.51
VIC0052,cafe,hospitality,3058,-37.747516,144.985874,214107.7,429146.04,25000
VIC0053,produce_storage,agriculture,3300,-37.730587,142.011015,1962849.01,,165387.04
VIC0054,clothing_store,retail,3844,-38.202181,146.537049,482749.55,493467.67,102570.62
VIC0055,tutoring_centre,education,3500,-34.169627,142.193788,1855320.99,3174485.42,75630.66
VIC0056,electronics_store,retail,3175,-37.988967,145.18185,1050417.98,596131.65,194447.86
VIC0057,pharmacy,healthcare,3000,-37.816028,144.968409,163430.05,130494.73,33971.23
VIC0058,beverage_distributor,wholesale_trade,3220,-38.155628,144.406519,1202497.5,672300.17,100003
VIC0059,pharmacy_retail,retail,3030,-37.901793,144.743088,150000,137668.85,30086.85
VIC0060,furniture_store,retail,3140,-37.746663,145.327073,685128.55,1322066.81,46230.74
VIC0061,distribution_centre,logistics,3018,-37.844447,144.819888,3859801.07,5851821.44,696333.47
VIC0062,training_centre,education,3065,-37.799412,144.97664,2089792.71,4450648.67,114750.5
VIC0063,mechanic_workshop,automotive,3233,-38.747195,143.65238,4695732.4,4253702.75,750358.07
VIC0064,contractor_office,construction,3977,-38.104355,145.250036,438026.14,936748.06,86153.64
VIC0065,distribution_centre,logistics,3250,-38.340812,143.55594,598240.94,878431.48,81603.47
VIC0066,plumbing_wholesaler,wholesale_trade,3018,-37.868974,144.842424,2208761.21,,97364.9
VIC0067,building_services_office,construction,3134,-37.801974,145.248743,382911.93,473634.92,74372.46
VIC0068,accounting_firm,professional_services,3189,-37.955688,145.061733,353981.34,171243.23,38329.46
VIC0069,aged_care_facility,healthcare,3018,-37.875368,144.823538,2329495.83,4025094.15,367436.36
VIC0070,supermarket,retail,3977,-38.101152,145.312102,1642879.14,3257109.56,323475.03
VIC0071,legal_practice,professional_services,3825,-38.171913,146.267159,353723.33,331492.25,76555.67
VIC0072,furniture_store,retail,3028,-37.867572,144.757662,430592.45,608855.93,66391.39
VIC0073,light_manufacturing,manufacturing,3220,-38.124714,144.366218,6994181.34,12326428.08,715436.85
VIC0074,taxi_operations_base,transport,3280,-38.400446,142.50845,229435.24,230102.71,28554.83
VIC0075,tyre_service,automotive,3168,-37.931886,145.122135,8148988.33,,1383159.12
VIC0076,bakery,hospitality,3056,-37.770433,144.971033,227048.53,100000,29029.93
VIC0077,pharmacy_retail,retail,3300,-37.73261,142.050453,292943.45,208646.12,56673.39
VIC0078,building_services_office,construction,3550,-36.77289,144.309516,307855.21,648425.02,44259.86
VIC0079,furniture_store,retail,3061,-37.653428,144.940605,2099672.03,1052314.3,203456.37
VIC0080,beverage_distributor,wholesale_trade,3174,-37.958406,145.175938,630974.33,325735.04,101620.01
VIC0081,legal_practice,professional_services,3228,-38.315127,144.32554,881713.97,1825063.84,71776.68
VIC0082,warehouse,logistics,3168,-37.930213,145.115933,2724213.9,1983804.11,482983.16
VIC0083,plumbing_wholesaler,wholesale_trade,3953,-38.471123,145.965397,2583729.64,4336098.49,216365.69
VIC0084,warehouse,logistics,3977,-38.094632,145.268553,661237.65,964599.94,51742.66
VIC0085,wholesale_food_supplier,wholesale_trade,3377,-37.296105,142.91516,1031193.84,381248.01,116241.06
VIC0086,architecture_studio,professional_services,3175,-37.965659,145.204498,2079963.14,701638.06,191764.58
VIC0087,bakery,hospitality,3065,-37.798337,144.978128,251318.72,510314.72,54499.87
VIC0088,restaurant,hospitality,3909,-37.876301,147.983503,181174.36,227104.1,25000
VIC0089,electrical_wholesaler,wholesale_trade,3018,-37.862539,144.801634,786988.3,1332422.1,102661.25
VIC0090,private_college,education,3977,-38.096149,145.252,547036.1,527104.94,97790.47
VIC0091,indoor_sports_centre,recreation,3030,-37.915463,144.764356,4697346.77,10203131.22,383598.77
VIC0092,food_processing,manufacturing,3174,-37.963361,145.157547,2496728.55,4743431.5,363916.69
VIC0093,plumbing_wholesaler,wholesale_trade,3170,-37.946461,145.154903,345303.22,111737.82,25000
VIC0094,hardware_store,retail,3340,-37.69164,144.457593,770181.94,1640044.44,151556.42
VIC0095,real_estate_agency,professional_services,3840,-38.229422,146.371477,1494547.42,2049743.61,325447.36
VIC0096,retail_store,retail,3072,-37.736,144.987471,193361.42,235713.76,25000
VIC0097,consulting_office,professional_services,3121,-37.830834,145.005114,674808.48,432147.33,56684.8
VIC0098,training_centre,education,3909,-37.878705,147.977821,150000,163915.45,25000
VIC0099,plumbing_wholesaler,wholesale_trade,3220,-38.123874,144.370812,2737401.65,1142634.06,485428.31
VIC0100,plastics_manufacturing,manufacturing,3677,-36.378057,146.307773,1204443.13,515213.4,194856.17
VIC0101,produce_storage,agriculture,3953,-38.491958,145.928138,518261.99,1009322.58,86234.61
VIC0102,cold_storage,logistics,3168,-37.914628,145.101529,988269.15,1520017.65,86927.97
VIC0103,building_services_office,construction,3182,-37.879763,144.985624,1162490.82,941122.41,128454.93
VIC0104,building_services_office,construction,3065,-37.799131,144.979057,4478090.3,,224401.13
VIC0105,visitor_centre,tourism,3888,-37.709852,148.43913,2024738.38,,187961.3
VIC0106,pub,hospitality,3020,-37.767289,144.829274,418331.26,417818.56,36897.65
VIC0107,clothing_store,retail,3450,-37.075516,144.222284,2791678.17,1145259.62,399090.56
VIC0108,visitor_centre,tourism,3076,-37.645809,145.026901,665959.37,1240715.62,104332.78
VIC0109,document_storage,storage,3844,-38.168723,146.557214,3351118.6,5634501.34,405388.02
VIC0110,restaurant,hospitality,3233,-38.7529,143.664097,1392607.18,1948506.14,226856.86
VIC0111,office,professional_services,3465,-37.056589,143.741066,1654881.54,2837200.06,216633.77
VIC0112,electrical_wholesaler,wholesale_trade,3170,-37.914293,145.156861,997835.42,1006247.81,63327.19
VIC0113,allied_health_centre,healthcare,3850,-38.11524,147.084479,604123.77,734004.96,76635.17
VIC0114,furniture_store,retail,3977,-38.10978,145.265217,1886512.96,3851243.51,226485.71
VIC0115,office,professional_services,3053,-37.804469,144.961885,268484,209998.95,55332.08
VIC0116,plastics_manufacturing,manufacturing,3350,-37.582816,143.856192,755320.83,1250965.42,62655.12
VIC0117,hardware_store,retail,3047,-37.660981,144.911933,809348.59,412098.47,130263.86
VIC0118,transport_office,transport,3018,-37.882968,144.830219,969509.42,612259.21,80679.91
VIC0119,private_college,education,3000,-37.806344,144.95481,1125690.63,2412879.48,188034.56
VIC0120,beverage_distributor,wholesale_trade,3175,-37.977711,145.193365,4455995.73,2858928.27,692943.23
VIC0121,legal_practice,professional_services,3043,-37.708451,144.860891,557823.61,341627.14,97862.85
VIC0122,water_services_depot,essential_services,3153,-37.864389,145.264667,3537185.75,5211887.15,593690.17
VIC0123,tutoring_centre,education,3810,-38.084549,145.458848,1496171.52,712453.24,261114.47
VIC0124,light_manufacturing,manufacturing,3840,-38.256986,146.390341,9094053.78,17717483.89,523986.18
VIC0125,aged_care_facility,healthcare,3121,-37.825624,145.004496,221906.96,475099.88,25000
VIC0126,managed_services_office,technology,3030,-37.881395,144.642094,1480097.52,2872367.39,212407.43
VIC0127,visitor_centre,tourism,3153,-37.855373,145.277446,1818123.82,2511070.49,314341.73
VIC0128,clinic,healthcare,3065,-37.791357,144.976362,516194.03,772805.17,44008.56
VIC0129,contractor_office,construction,3228,-38.329949,144.312528,2886215.91,5738642.92,115724.1
VIC0130,legal_practice,professional_services,3350,-37.548311,143.854394,931075.5,1436622.84,60243.36
VIC0131,pub,hospitality,3153,-37.839044,145.275715,1780568.46,1775713.85,218222.52
VIC0132,metal_fabrication,manufacturing,3008,-37.822868,144.945173,1246565.14,1510364.01,254836.02
VIC0133,bakery_factory,food_and_beverage,3168,-37.920335,145.112768,610912.92,1229943.7,47216.76
VIC0134,tyre_service,automotive,3056,-37.769236,144.947988,3618921.59,1651734.88,746615.99
VIC0135,pharmacy,healthcare,3011,-37.794842,144.897315,812361.32,1661243.24,145432.85
VIC0136,water_services_depot,essential_services,3337,-37.653015,144.577179,1195124.97,1520476.51,132797.23
VIC0137,farm_supply_store,agriculture,3030,-37.890647,144.659611,1873511.3,1705629.15,163442.56
VIC0138,cafe,hospitality,3995,-38.594902,145.592896,1555723.15,3223693.09,319907.69
VIC0139,courier_depot,transport,3000,-37.820362,144.972911,1213369.6,629281.79,71279.45
VIC0140,holiday_apartments,tourism,3977,-38.113239,145.297889,1672802.4,1444835.48,328910.05
VIC0141,electronics_store,retail,3585,-35.325554,143.545145,3046631.79,1477131.06,228976.57
VIC0142,document_storage,storage,3400,-36.706784,142.189143,763895.76,1078924.75,107719.86
VIC0143,retail_store,retail,3171,-37.936596,145.158811,150000,184717.94,25000
VIC0144,medical_imaging_clinic,healthcare,3028,-37.844611,144.744188,1161730.33,2492924.04,150216.44
VIC0145,hardware_store,retail,3844,-38.214269,146.548299,2367743.96,1363944.84,503072.51
VIC0146,aged_care_facility,healthcare,3175,-37.969188,145.211903,2510515.53,,251923.58
VIC0147,takeaway_food,hospitality,3056,-37.761313,144.962183,172098.63,100000,37776.29
VIC0148,packaging_facility,manufacturing,3300,-37.738096,142.007802,3386619.05,6632545.23,554905.72
VIC0149,clinic,healthcare,3175,-37.987155,145.194609,672580.86,802932.75,29441.59
VIC0150,plumbing_wholesaler,wholesale_trade,3550,-36.739242,144.241129,2228810.66,4719228.81,482750.45
VIC0151,transport_office,transport,3305,-38.359523,141.593001,1884745.52,1151964.5,297124.43
VIC0152,trade_supplier,construction,3810,-38.064951,145.507298,2815699.09,1697685.94,371892.18
VIC0153,consulting_office,professional_services,3350,-37.527399,143.842611,2570228.07,,203876.86
VIC0154,electrical_wholesaler,wholesale_trade,3058,-37.738305,144.979361,5813991.85,2174672.9,267822.44
VIC0155,cafe,hospitality,3977,-38.107155,145.290947,801548.1,1028271.81,91027.01
VIC0156,clothing_store,retail,3977,-38.116611,145.25574,194557.93,202275.36,25000
VIC0157,plant_hire_yard,construction,3730,-36.000853,146.010545,910132.11,1003807.56,150474.69
VIC0158,courier_depot,transport,3220,-38.177813,144.382586,887424.51,1433029.39,152263.09
VIC0159,real_estate_agency,professional_services,3008,-37.812712,144.942774,493651.79,448125.8,27054.54
VIC0160,cafe,hospitality,3028,-37.867943,144.742946,150000,263451.53,25000
VIC0161,consulting_office,professional_services,3008,-37.818112,144.95642,165188.64,280945.34,29826.8
VIC0162,pharmacy,healthcare,3061,-37.682444,144.9489,3704175.84,3816516.44,209711.21
VIC0163,cafe,hospitality,3465,-37.048943,143.753021,1015779.6,2049153.01,184855.46
VIC0164,office,professional_services,3043,-37.704072,144.855061,4141172.25,7589367.43,548564.01
VIC0165,mechanic_workshop,automotive,3170,-37.913165,145.174377,1786811.41,921054.8,215437
VIC0166,farm_supply_store,agriculture,3030,-37.928874,144.729247,221542.72,,41641.2
VIC0167,software_office,technology,3337,-37.660634,144.561478,814812.29,762109.02,38140.33
VIC0168,pub,hospitality,3121,-37.820455,145.015357,306319.57,664833.73,25000
VIC0169,bus_depot,transport,3028,-37.846296,144.782383,2080707.68,3696827.56,202524.73
VIC0170,refrigerated_storage,storage,3061,-37.675033,144.948673,1391535.28,1375777.59,204452.18
VIC0171,wholesale_food_supplier,wholesale_trade,3174,-37.965073,145.179274,4317514.33,3476606.7,254570.68
VIC0172,furniture_store,retail,3140,-37.776781,145.337788,562868.78,960280.56,25090.07
VIC0173,trade_supplier,construction,3066,-37.805319,144.99698,793227,249784.63,117830.66
VIC0174,holiday_apartments,tourism,3690,-36.106109,146.921328,219441.78,335783.32,25000
VIC0175,entertainment_venue,recreation,3844,-38.174891,146.512225,1002478.02,2160538.69,190839.74
VIC0176,bakery,hospitality,3672,-36.559209,145.993888,261592.62,287677.71,25000
VIC0177,materials_yard,construction,3909,-37.88405,147.965625,694541.6,350878.68,132326.76
VIC0178,food_processing,manufacturing,3076,-37.663537,145.042108,539597.96,1170260.75,79075.19
VIC0179,building_services_office,construction,3909,-37.858686,147.982487,373593.55,550908.84,28821.23
VIC0180,real_estate_agency,professional_services,3061,-37.648584,144.942368,1153759.37,640283.77,87051.55
VIC0181,bakery,hospitality,3047,-37.658761,144.904101,975069.39,809612.16,98883.55
VIC0182,electrical_wholesaler,wholesale_trade,3280,-38.402723,142.456113,1007475.29,681597.61,217724.57
VIC0183,clothing_store,retail,3810,-38.051601,145.486074,8013333.94,,448217.67
VIC0184,dairy_processor,food_and_beverage,3995,-38.611083,145.618117,2367999.62,3280354.57,340393.24
VIC0185,consulting_office,professional_services,3550,-36.791348,144.274442,493400.74,493682.62,64892.32
VIC0186,courier_depot,transport,3066,-37.80781,144.979566,215605.09,100000,28852.78
VIC0187,clinic,healthcare,3337,-37.678912,144.583424,869135.97,1169454.74,139234
VIC0188,taxi_operations_base,transport,3175,-37.987751,145.240663,324446.07,276755.25,25000
VIC0189,pharmacy,healthcare,3300,-37.754414,142.042423,539580.1,388663.03,49371.41
VIC0190,electronics_store,retail,3066,-37.803384,144.979103,237912.86,,30838.58
VIC0191,hardware_store,retail,3840,-38.224528,146.372432,1033498.01,354539.31,143131.97
VIC0192,dental_practice,healthcare,3550,-36.751102,144.312968,1037555.25,1093461.33,194914.73
VIC0193,bakery_factory,food_and_beverage,3182,-37.857984,144.970119,1300694.13,1608046.91,109011.15
VIC0194,dairy_processor,food_and_beverage,3053,-37.798936,144.954671,6236978.85,8966611.16,623276.19
VIC0195,grain_storage,agriculture,3350,-37.595248,143.840125,1778346.13,2511159.1,176433.86
VIC0196,clinic,healthcare,3550,-36.753175,144.29824,601271.51,997065.87,94832.64
VIC0197,dental_practice,healthcare,3810,-38.077037,145.449781,672949.45,354433.97,141516.67
VIC0198,managed_services_office,technology,3174,-37.970434,145.194902,1099215.86,1313182.06,213767.79
VIC0199,winery_cellar_door,tourism,3058,-37.73871,144.978327,415061.37,188617.55,63423.43
VIC0200,accounting_firm,professional_services,3400,-36.727441,142.173088,463646.01,461076.11,80152.3
VIC0201,parts_supplier,automotive,3189,-37.956423,145.038046,1133634.49,1692729.54,118744.57
VIC0202,real_estate_agency,professional_services,3000,-37.812882,144.959702,1705565.62,743259.17,184212.37
VIC0203,office,professional_services,3465,-37.065758,143.742896,1529959.41,1093977.47,186312.53
VIC0204,cafe,hospitality,3066,-37.807323,144.993229,677502.66,1459521.04,85472.07
VIC0205,architecture_studio,professional_services,3220,-38.152499,144.40623,1415934.48,1447451.21,97005.5
VIC0206,electrical_wholesaler,wholesale_trade,3000,-37.815479,144.968334,776977.56,1379847.92,152983.08
VIC0207,trade_supplier,construction,3677,-36.379866,146.325932,569420.8,932134.75,43078.04
VIC0208,vocational_campus,education,3175,-37.982121,145.244956,2241362.34,4029145.4,434485.11
VIC0209,security_services_office,property_services,3189,-37.95193,145.03346,842164.88,1786877.48,121126.74
VIC0210,warehouse,logistics,3175,-37.97898,145.218989,4131472.29,1386326.87,503151.48
VIC0211,document_storage,storage,3043,-37.687619,144.889212,1843822.95,2194267.67,364031.81
VIC0212,security_services_office,property_services,3140,-37.759557,145.342391,572519.07,367805.34,93874.38
VIC0213,clinic,healthcare,3065,-37.791427,144.984064,1317313.63,487383.23,288077.63
VIC0214,water_services_depot,essential_services,3840,-38.212556,146.411576,2144966.17,1958276.2,248579.3
VIC0215,medical_imaging_clinic,healthcare,3300,-37.727839,142.000057,1375344.39,1434520.21,74548
VIC0216,furniture_store,retail,3028,-37.861612,144.742821,791841.95,441476.1,55423.55
VIC0217,car_dealership,automotive,3011,-37.789356,144.912937,1015816.03,1622353.75,109742.27
VIC0218,beverage_processor,food_and_beverage,3000,-37.810286,144.972191,686346.02,908746.37,66775.08
VIC0219,car_dealership,automotive,3182,-37.872153,144.984819,181683.36,360111.53,29903.98
VIC0220,tyre_service,automotive,3134,-37.824766,145.233794,710673.74,871311.53,59608.03
VIC0221,facility_management_office,property_services,3677,-36.370417,146.317173,581698.2,685514.43,93052.38
VIC0222,trade_supplier,construction,3174,-37.943286,145.173729,631482.15,1287930.39,125727.51
VIC0223,dairy_processor,food_and_beverage,3850,-38.120168,147.080632,2028155.1,3982702.7,223235.51
VIC0224,winery_cellar_door,tourism,3810,-38.07602,145.506276,195955.34,326121.76,25000
VIC0225,cafe,hospitality,3500,-34.169398,142.139583,706669.77,1340578.97,57401.4
VIC0226,transport_office,transport,3630,-36.383892,145.402014,7160371.25,14965974.19,975607.26
VIC0227,electrical_wholesaler,wholesale_trade,3056,-37.76138,144.947558,511250.96,731590,75015.57
VIC0228,real_estate_agency,professional_services,3140,-37.763956,145.335327,1169576.95,2091138.94,110083.9
VIC0229,electronics_store,retail,3690,-36.14518,146.901421,3301589.73,1648860.07,640264.66
VIC0230,electronics_repair,technology,3053,-37.809206,144.966077,708451.81,772605.1,67698.93
VIC0231,takeaway_food,hospitality,3931,-38.221654,145.053754,236879.29,498605.76,25000
VIC0232,real_estate_agency,professional_services,3931,-38.230815,145.052382,809988.09,1585896.44,107092.7
VIC0233,furniture_store,retail,3058,-37.739204,144.965798,1207611.02,,141425.02
VIC0234,materials_yard,construction,3840,-38.251829,146.407928,598727.57,555761.06,63992.88
VIC0235,wholesale_food_supplier,wholesale_trade,3182,-37.873876,144.971105,892771.55,1346638.48,45996.84
VIC0236,refrigerated_storage,storage,3076,-37.653645,145.018645,572061.86,,119856.87
VIC0237,cafe,hospitality,3000,-37.819811,144.974208,150000,142073.41,25000
VIC0238,plumbing_wholesaler,wholesale_trade,3174,-37.946297,145.171272,1158790.07,2203557.65,114299.77
VIC0239,bus_depot,transport,3550,-36.779772,144.30129,947450.83,635392.03,93485.22
VIC0240,courier_depot,transport,3350,-37.537313,143.836342,1620423.93,1204448.69,142950.94
VIC0241,takeaway_food,hospitality,3065,-37.800433,144.977247,150000,271031.93,32647.97
VIC0242,contractor_office,construction,3340,-37.675999,144.463272,1223565.28,838721.25,245755.96
VIC0243,community_health_office,community_services,3350,-37.529879,143.842646,409100.83,574875.93,75380.96
VIC0244,accounting_firm,professional_services,3140,-37.762198,145.335421,240672.55,188310.96,45264.79
VIC0245,equipment_storage,storage,3136,-37.77794,145.280666,787229.29,576974.51,169251.67
VIC0246,tyre_service,automotive,3730,-36.004718,146.008165,858150.25,717646.75,108339.31
VIC0247,distribution_centre,logistics,3844,-38.215091,146.513487,2747535.87,,188672.2
VIC0248,cafe,hospitality,3153,-37.84621,145.261365,4294455.6,6165158.71,891041.11
VIC0249,medical_imaging_clinic,healthcare,3350,-37.527614,143.849673,949611.67,1292347.1,168298.4
VIC0250,timber_processing,manufacturing,3018,-37.86795,144.8424,362594.96,251100.9,77627.26
VIC0251,car_dealership,automotive,3000,-37.810946,144.955125,678135.73,544112.41,69319.15
VIC0252,freight_depot,logistics,3011,-37.798263,144.879119,782734.87,767068.77,53330.97
VIC0253,wholesale_food_supplier,wholesale_trade,3226,-38.259567,144.5321,1129402.97,1502285.85,106160.2
VIC0254,gym,recreation,3550,-36.761269,144.237497,496637.65,793317.81,44960.97
VIC0255,last_mile_depot,logistics,3047,-37.691809,144.903034,4855501.32,10056362.38,439148.01
VIC0256,legal_practice,professional_services,3065,-37.799122,144.967521,461259.28,172163.29,33905.34
VIC0257,office,professional_services,3056,-37.780164,144.964341,1394225.91,575943.71,161551.07
VIC0258,trade_supplier,construction,3053,-37.798317,144.966887,3538354.95,7664371.7,200979.28
VIC0259,self_storage_facility,storage,3043,-37.705436,144.892236,3965922.97,2527928.22,300727.82
VIC0260,dental_practice,healthcare,3630,-36.360283,145.409549,1631698.26,2178490.17,68240.8
VIC0261,accounting_firm,professional_services,3121,-37.820659,145.00766,6504499.03,12358276.38,726256.62
VIC0262,pub,hospitality,3199,-38.12689,145.119272,1267781.7,1739352.94,238537.82
VIC0263,clothing_store,retail,3000,-37.813264,144.970864,2743959.87,4165248.9,447393.66
VIC0264,packaging_facility,manufacturing,3171,-37.939462,145.162348,2181725.41,3061651.84,398662.58
VIC0265,livestock_services,agriculture,3741,-36.738424,146.965887,3428252.05,6933878.67,421664.89
VIC0266,trade_wholesaler,wholesale_trade,3350,-37.55452,143.889225,1616862.39,829010.09,162173.81
VIC0267,self_storage_facility,storage,3199,-38.124533,145.118513,5340333.6,2295169.77,752311.7
VIC0268,accounting_firm,professional_services,3995,-38.604275,145.578189,2359568.98,4300662.91,376155.59
VIC0269,plumbing_wholesaler,wholesale_trade,3171,-37.965277,145.159679,150000,251499.79,25000
VIC0270,dental_practice,healthcare,3337,-37.673286,144.575816,2091294.29,3408285.69,105285.81
VIC0271,plastics_manufacturing,manufacturing,3020,-37.786117,144.845087,933899,1803038.41,80915.1
VIC0272,contractor_office,construction,3350,-37.531252,143.832681,1331914.82,2084408.6,57399.63
VIC0273,plumbing_wholesaler,wholesale_trade,3199,-38.122306,145.109886,1202612.42,1796028.83,113552.16
VIC0274,dairy_processor,food_and_beverage,3020,-37.769291,144.841058,771969.55,723999.27,115266.71
VIC0275,panel_beater,automotive,3450,-37.063272,144.19561,576131.03,954221.9,97429.5
VIC0276,light_manufacturing,manufacturing,3175,-37.996662,145.200483,10695787.08,4789822.11,828821.05
VIC0277,gym,recreation,3677,-36.355541,146.286515,2038459.03,962538.41,390574.34
VIC0278,clothing_store,retail,3672,-36.544049,146.005834,783380.48,236752.27,103860.84
VIC0279,charity_shop,community_services,3047,-37.68748,144.929192,225405.36,270095.6,44926.13
VIC0280,water_services_depot,essential_services,3810,-38.087533,145.481708,1889416.59,2639520.16,97148
VIC0281,trade_wholesaler,wholesale_trade,3066,-37.799925,144.980548,731823.01,1313000.83,85218.06
VIC0282,retail_store,retail,3030,-37.892784,144.699614,518862.22,377309.78,38087.78
VIC0283,catering_kitchen,hospitality,3192,-37.973515,145.065072,460164.89,227771.09,43411.4
VIC0284,pharmacy_retail,retail,3550,-36.733002,144.279478,266784.96,,49388.35
VIC0285,charity_shop,community_services,3931,-38.223338,145.063473,189380.15,163969.82,28439.63
VIC0286,warehouse,logistics,3220,-38.1469,144.375651,3825248.36,2614845.94,508747.62
VIC0287,mechanic_workshop,automotive,3564,-36.138036,144.753792,681736.38,765313.35,72280.93
VIC0288,furniture_store,retail,3585,-35.329138,143.538265,382491.4,603236.09,73242.29
VIC0289,childcare_centre,education,3300,-37.746031,142.003604,1469495.56,639362.19,268014.19
VIC0290,plant_hire_yard,construction,3043,-37.716152,144.8946,888453.34,704322.65,37513.83
VIC0291,tour_operator,tourism,3058,-37.751633,144.952376,3100295.05,1739707.42,401033.41
VIC0292,clinic,healthcare,3000,-37.80993,144.951862,807565.77,734908.02,64135.85
VIC0293,architecture_studio,professional_services,3008,-37.818908,144.941609,1145058.05,746107.93,210159.59
VIC0294,plastics_manufacturing,manufacturing,3228,-38.338615,144.314497,2170059.55,3661261.98,108643.8
VIC0295,wholesale_food_supplier,wholesale_trade,3550,-36.741478,144.317865,1142660.09,1114870.06,183528.05
VIC0296,real_estate_agency,professional_services,3053,-37.798503,144.974025,375770.4,233023.42,30728.91
VIC0297,freight_depot,logistics,3076,-37.635517,145.019245,2323656.44,2547162.75,280573.51
VIC0298,charity_shop,community_services,3850,-38.106635,147.085925,383535.67,399354.48,43230.97
